NAME                                                     VERSION               RELEASE               ARCH        VENDOR                          GROUP
Display Calibrator                                       4.10.0                ?                     Intel       ?                               ?                   
AirScanLegacyDiscovery                                   12.4                  ?                     Intel       ?                               ?                   
convertpdf                                               1.2                   ?                     Intel       ?                               ?                   
asannotation2                                            1612.21.3110.0        ?                     Intel       ?                               ?                   
Microsoft AutoUpdate                                     3.9                   ?                     Intel       ?                               ?                   
imavagent                                                10.0                  ?                     Intel       ?                               ?                   
CMFSyncAgent                                             10.0                  ?                     Intel       ?                               ?                   
InkServer                                                10.9                  ?                     Intel       ?                               ?                   
UserNotificationCenter                                   3.3.0                 ?                     Intel       ?                               ?                   
SocialPushAgent                                          58                    ?                     Intel       ?                               ?                   
AppleFileServer                                          2.0                   ?                     Intel       ?                               ?                   
Show Info                                                2.0                   ?                     Intel       ?                               ?                   
Set Info                                                 2.0                   ?                     Intel       ?                               ?                   
Rename                                                   2.0                   ?                     Intel       ?                               ?                   
Remove                                                   2.0                   ?                     Intel       ?                               ?                   
Proof                                                    2.0                   ?                     Intel       ?                               ?                   
Match                                                    2.0                   ?                     Intel       ?                               ?                   
Extract                                                  2.0                   ?                     Intel       ?                               ?                   
Embed                                                    2.0                   ?                     Intel       ?                               ?                   
convertpdf                                               1.2                   ?                     Intel       ?                               ?                   
asannotation2                                            1612.21.3110.0        ?                     Intel       ?                               ?                   
atmsupload                                               1504.29.3000.0        ?                     Intel       ?                               ?                   
convertpdf                                               1.2                   ?                     Intel       ?                               ?                   
Cisco WebEx Meeting Center                               1605.19.3009.0        ?                     Intel       ?                               ?                   
asannotation2                                            1504.28.3000.0        ?                     Intel       ?                               ?                   
convertpdf                                               1.2                   ?                     Intel       ?                               ?                   
asannotation2                                            1612.21.3110.0        ?                     Intel       ?                               ?                   
Cisco WebEx Event Center                                 1701.16.3111.0        ?                     Intel       ?                               ?                   
Management Action                                        9.97.1488392992       ?                     Intel       ?                               ?                   
jamfHelper                                               9.97.1488392992       ?                     Intel       ?                               ?                   
SLLauncher                                               1.0                   ?                     Intel       ?                               ?                   
atmsupload                                               1602.25.3106.0        ?                     Intel       ?                               ?                   
convertpdf                                               1.2                   ?                     Intel       ?                               ?                   
asannotation2                                            1612.21.3110.0        ?                     Intel       ?                               ?                   
CiscoWebExUpdate                                         0.2.1                 ?                     Intel       ?                               ?                   
Uninstall                                                0.2.1                 ?                     Intel       ?                               ?                   
yo                                                       1.0.3                 ?                     Intel       ?                               ?                   
CocoaDialog                                              2.1.1                 ?                     Intel       ?                               ?                   
Fax Receive Monitor                                      1.71                  ?                     Intel       ?                               ?                   
FAX Utility                                              1.73                  ?                     Intel       ?                               ?                   
rastertoepfax                                            1.71                  ?                     Intel       ?                               ?                   
commandFilter                                            1.71                  ?                     Intel       ?                               ?                   
epsonfax                                                 1.71                  ?                     Intel       ?                               ?                   
EPFaxAutoSetupTool                                       1.71                  ?                     Intel       ?                               ?                   
Canon IJScanner6                                         4.0.0                 ?                     Intel       ?                               ?                   
Canon IJScanner4                                         4.0.0                 ?                     Intel       ?                               ?                   
Canon IJScanner2                                         4.0.0                 ?                     Intel       ?                               ?                   
Spotlight                                                3.0                   ?                     Intel       ?                               ?                   
SpeechService                                            6.6.2                 ?                     Intel       ?                               ?                   
Java Web Start                                           15.0.1                ?                     Intel       ?                               ?                   
Jar Launcher                                             15.0.1                ?                     Intel       ?                               ?                   
AirPort Base Station Agent                               2.2.1                 ?                     Intel       ?                               ?                   

